userID,username,retweet user,utc off,profile created,favorites,followers,following,tweets,date,tweetID,retweetID,retweet count,text,day,year,month,day,hour,min,sec,url,lat,lon
'608901096,b'kris10nazorek',,-5.0,Fri Jun 15 06:04:03 +0000 2012,3339,696,1464,14571,Thu Jul 14 04:21:54 +0000 2016,'753444387401637888,,0,thank god @eastloshighshow new season comes out friday. it's been too long @monique96_,Thu,2016,Jul,14,04,21,54,http://twitter.com/b'kris10nazorek'/status/753444387401637888,,
'112068010,b'Tweetvanne',dennispastorizo,-7.0,Sun Feb 07 04:44:38 +0000 2010,4528,3350,573,4986,Thu Jul 14 04:27:25 +0000 2016,'753445775158288384,'753440445473001472,1,rt @dennispastorizo: nice! @tweetvanne was a guest on my show @thezooonlatv intvw airs soon cuz @eastloshighshow starts 2morrow https://t.c  [...] ,Thu,2016,Jul,14,04,27,25,http://twitter.com/b'Tweetvanne'/status/753445775158288384,,
'317397174,b'beck_yy',,-5.0,Tue Jun 14 21:40:48 +0000 2011,2252,174,438,22229,Thu Jul 14 04:37:05 +0000 2016,'753448207321927680,,0,so friday needs to get here.... new season of @eastloshighshow [comma] new @5sos song and new @zaynmalik song. #girlstalkboys #who  [emoj_grin] ,Thu,2016,Jul,14,04,37,05,http://twitter.com/b'beck_yy'/status/753448207321927680,,
'2642901736,b'quana456',,,Thu Jun 26 05:02:55 +0000 2014,2026,172,622,2176,Thu Jul 14 04:37:18 +0000 2016,'753448259536973825,,0,so ummm one more day @eastloshighshow new season. i'm super excited!! @hulu  [emoj_heart_eyes]   [emoj_heart_eyes]   [emoj_slightly_smiling_face]  [emoj_slightly_smiling_face] https://t.co/ja6qjb77rt,Thu,2016,Jul,14,04,37,18,http://twitter.com/b'quana456'/status/753448259536973825,,
'25255017,b'styledbyreah',1027KIISFM,-7.0,Thu Mar 19 07:25:06 +0000 2009,2538,8166,1098,11331,Thu Jul 14 06:13:44 +0000 2016,'753472529839251461,'753073560726474753,7,rt @1027kiisfm: guess what y'all?! @chueymartinez will be in the next season of @eastloshighshow on @hulu!! https://t.co/aiyvujg284 https:  [...] ,Thu,2016,Jul,14,06,13,44,http://twitter.com/b'styledbyreah'/status/753472529839251461,,
'1703125938,b'katsanchez10',,,Mon Aug 26 23:07:06 +0000 2013,2181,509,332,3478,Thu Jul 14 06:27:51 +0000 2016,'753476083194863616,,0,@kaynicoletorres @eastloshighshow @gabeiswitit @themsdaniv @aliciasixtos i'm definitely staying over to watch it with you!!!,Thu,2016,Jul,14,06,27,51,http://twitter.com/b'katsanchez10'/status/753476083194863616,,
'753488361281642497,b'radrosita_101',,,Thu Jul 14 07:16:39 +0000 2016,0,1,39,2,Thu Jul 14 07:30:40 +0000 2016,'753491892017336320,,0,@gabeiswitit a relatable show is always good! that's why i love @eastloshighshow  [emoj_heart]  but jacob is..  [emoj_sob]   [emoj_heart]+[emoj_heart]  https://t.co/p54u39k6b6,Thu,2016,Jul,14,07,30,40,http://twitter.com/b'radrosita_101'/status/753491892017336320,,
'2152211767,b'ItsJennayye_',,-7.0,Thu Oct 24 04:14:15 +0000 2013,1730,159,140,6322,Thu Jul 14 08:05:46 +0000 2016,'753500724168753152,,0,i can't wait for @eastloshighshow season 4 to come out on friday so i can see my boo @princeroyce,Thu,2016,Jul,14,08,05,46,http://twitter.com/b'ItsJennayye_'/status/753500724168753152,,
'330213789,b'gabeiswitit',radrosita_101,-7.0,Wed Jul 06 08:39:41 +0000 2011,9182,6671,2010,12002,Thu Jul 14 08:45:29 +0000 2016,'753510719631470592,'753491892017336320,1,rt @radrosita_101: @gabeiswitit a relatable show is always good! that's why i love @eastloshighshow  [emoj_heart]  but jacob is..  [emoj_sob]   [emoj_heart]+[emoj_heart]  https://t.co/p54u39k  [...] ,Thu,2016,Jul,14,08,45,29,http://twitter.com/b'gabeiswitit'/status/753510719631470592,,
'330213789,b'gabeiswitit',katsanchez10,-7.0,Wed Jul 06 08:39:41 +0000 2011,9184,6671,2010,12004,Thu Jul 14 08:45:55 +0000 2016,'753510828897284097,'753476083194863616,1,rt @katsanchez10: @kaynicoletorres @eastloshighshow @gabeiswitit @themsdaniv @aliciasixtos i'm definitely staying over to watch it with you  [...] ,Thu,2016,Jul,14,08,45,55,http://twitter.com/b'gabeiswitit'/status/753510828897284097,,
'2208085112,b'cinelandiaUSA',UNITEDWEDREAM,,Fri Nov 22 01:08:15 +0000 2013,221,1470,5001,2062,Thu Jul 14 12:42:17 +0000 2016,'753570309106786306,'753259346545483776,2,rt @unitedwedream: watch the new season of @eastloshighshow streaming in hulu this friday [comma]  july 15!\\n\\ndon't miss it! https://t.co/tnszycx5yu,Thu,2016,Jul,14,12,42,17,http://twitter.com/b'cinelandiaUSA'/status/753570309106786306,,
'34198238,b'OhlalaJfrenchie',,-4.0,Wed Apr 22 05:41:31 +0000 2009,53,184,371,4092,Thu Jul 14 12:50:50 +0000 2016,'753572464010072064,,0,so excited for the new season @eastloshighshow with @princeroyce!!!!!,Thu,2016,Jul,14,12,50,50,http://twitter.com/b'OhlalaJfrenchie'/status/753572464010072064,,
'3371682679,b'pilaalovee00',radrosita_101,,Fri Aug 28 15:02:38 +0000 2015,1585,55,96,1356,Thu Jul 14 13:08:55 +0000 2016,'753577013932204032,'753491892017336320,2,rt @radrosita_101: @gabeiswitit a relatable show is always good! that's why i love @eastloshighshow  [emoj_heart]  but jacob is..  [emoj_sob]   [emoj_heart]+[emoj_heart]  https://t.co/p54u39k  [...] ,Thu,2016,Jul,14,13,08,55,http://twitter.com/b'pilaalovee00'/status/753577013932204032,,
'24503556,b'absoluto_190',,-5.0,Sun Mar 15 08:46:08 +0000 2009,8497,576,867,16249,Thu Jul 14 13:51:15 +0000 2016,'753587669062463488,,0,@iliiigomez @eastloshighshow i hate her so much too!! lol,Thu,2016,Jul,14,13,51,15,http://twitter.com/b'absoluto_190'/status/753587669062463488,,
'395671248,b'smilenatyxo',,,Sat Oct 22 01:53:39 +0000 2011,694,190,129,1599,Thu Jul 14 13:54:47 +0000 2016,'753588556061376516,,0,just realized @eastloshighshow comes back on tmrw!  [emoj_grin]  can't wait to see @princeroyce  [emoj_heart_eyes] ,Thu,2016,Jul,14,13,54,47,http://twitter.com/b'smilenatyxo'/status/753588556061376516,,
